accuracy,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,k,pr_auc,precision,recall,rho,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.48051053062683613,arp_mitm,49867,1.0,1267173,249,49867,0,0.6438241152964106,1234999,1300000,1234999,1300000,0,0.0,1267173,0.9792727014190173,0.25,0.7462408396534739,0.4747349680510851,1.0,0.9,0.7559948062607619,0.0207272985809826,q99_9,61.96859898356997,26821,1145272
0.47677006115774173,arp_mitm,49867,1.0,1276297,327,49867,0,0.6421772094691073,1234999,1300000,1234999,1300000,0,0.0,1276297,0.9863237387499478,0.5,0.7462408396534739,0.4729462592228427,1.0,0.9,0.7559948062607619,0.013676261250052163,q99,43.57621680832405,17697,1145272
0.47836849281710153,arp_mitm,49867,1.0,1272398,309,49867,0,0.6428799570691861,1234999,1300000,1234999,1300000,0,0.0,1272398,0.9833105872206517,0.5,0.7462408396534739,0.4737089842699789,1.0,0.9,0.7559948062607619,0.01668941277934828,q99_5,50.02142209944568,21596,1145272
0.48051053062683613,arp_mitm,49867,1.0,1267173,249,49867,0,0.6438241152964106,1234999,1300000,1234999,1300000,0,0.0,1267173,0.9792727014190173,0.5,0.7462408396534739,0.4747349680510851,1.0,0.9,0.7559948062607619,0.0207272985809826,q99_9,59.46859957190409,26821,1145272
0.47681925628447247,arp_mitm,49867,1.0,1276177,329,49867,0,0.6421988151021625,1234999,1300000,1234999,1300000,0,0.0,1276177,0.9862310026167046,1.0,0.7462408396534739,0.47296969706981234,1.0,0.9,0.7559948062607619,0.01376899738329544,q99,38.858133344113796,17817,1145272
0.47842465725345246,arp_mitm,49867,1.0,1272261,304,49867,0,0.6429046776346166,1234999,1300000,1234999,1300000,0,0.0,1272261,0.9832047134685323,1.0,0.7462408396534739,0.4737358290455601,1.0,0.9,0.7559948062607619,0.01679528653146769,q99_5,45.25007883845719,21733,1145272
0.4805261090836342,arp_mitm,49867,1.0,1267135,251,49867,0,0.6438309920597108,1234999,1300000,1234999,1300000,0,0.0,1267135,0.9792433349768237,1.0,0.7462408396534739,0.47474244603004384,1.0,0.9,0.7559948062607619,0.020756665023176305,q99_9,54.52844264721836,26859,1145272
0.47575377183136236,arp_mitm,49867,1.0,1278776,187,49867,0,0.6417311980993579,1234999,1300000,1234999,1300000,0,0.0,1278776,0.9882395127025319,0.25,0.7290354563689152,0.47246259149983827,1.0,0.95,0.7637635422882538,0.011760487297468149,q99,83.00408858770447,15218,1145272
0.47697012133978006,arp_mitm,49867,1.0,1275809,184,49867,0,0.6422650814431438,1234999,1300000,1234999,1300000,0,0.0,1275809,0.9859466118080918,0.25,0.7290354563689152,0.4730415876213972,1.0,0.95,0.7637635422882538,0.014053388191908154,q99_5,92.57456838229525,18185,1145272
0.47897441279466857,arp_mitm,49867,1.0,1270920,111,49867,0,0.6431467508867139,1234999,1300000,1234999,1300000,0,0.0,1270920,0.9821683871795387,0.25,0.7290354563689152,0.47399875506582256,1.0,0.95,0.7637635422882538,0.0178316128204613,q99_9,109.90044940806348,23074,1145272
0.4757554116689201,arp_mitm,49867,1.0,1278772,189,49867,0,0.6417319172636997,1234999,1300000,1234999,1300000,0,0.0,1278772,0.9882364214980904,0.5,0.7290354563689152,0.4724633711269267,1.0,0.95,0.7637635422882538,0.011763578501909592,q99,78.0073176825241,15222,1145272
0.47697012133978006,arp_mitm,49867,1.0,1275809,184,49867,0,0.6422650814431438,1234999,1300000,1234999,1300000,0,0.0,1275809,0.9859466118080918,0.5,0.7290354563689152,0.4730415876213972,1.0,0.95,0.7637635422882538,0.014053388191908154,q99_5,87.57456843517497,18185,1145272
0.47897441279466857,arp_mitm,49867,1.0,1270920,111,49867,0,0.6431467508867139,1234999,1300000,1234999,1300000,0,0.0,1270920,0.9821683871795387,0.5,0.7290354563689152,0.47399875506582256,1.0,0.95,0.7637635422882538,0.0178316128204613,q99_9,104.90045055775856,23074,1145272
0.4757668905318239,arp_mitm,49867,1.0,1278744,191,49867,0,0.6417369514592266,1234999,1300000,1234999,1300000,0,0.0,1278744,0.9882147830670003,1.0,0.7290354563689152,0.4724688285885902,1.0,0.95,0.7637635422882538,0.011785216932999689,q99,68.10076793799989,15250,1145272
0.4769725810961166,arp_mitm,49867,1.0,1275803,185,49867,0,0.64226616198592,1234999,1300000,1234999,1300000,0,0.0,1275803,0.9859419750014297,1.0,0.7290354563689152,0.47304275993102235,1.0,0.95,0.7637635422882538,0.014058024998570317,q99_5,77.60065350219585,18191,1145272
0.47897441279466857,arp_mitm,49867,1.0,1270920,111,49867,0,0.6431467508867139,1234999,1300000,1234999,1300000,0,0.0,1270920,0.9821683871795387,1.0,0.7290354563689152,0.47399875506582256,1.0,0.95,0.7637635422882538,0.0178316128204613,q99_9,94.90048383002306,23074,1145272
