accuracy,alpha,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,pr_auc,precision,recall,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.01466037265244663,0.5,syn_dos,1113,1.0,2666600,2440,1113,0,0.005250914321611414,2617348,2682349,2617348,2682349,0,0.0,2666600,0.9879088053401758,0.0039051920043817394,0.0026323683310904467,1.0,0.6807930636158662,0.01209119465982424,q99_5,0.09287941532897155,32637,7038
0.4183688035531656,0.05,active_wiretap,47739,1.0,1287550,87,47739,0,0.5891648388535735,1234999,1300000,1234999,1300000,0,0.0,1287550,0.9977357122045267,0.31274153136935184,0.41760005355609775,1.0,0.3369967894242777,0.0022642877954732843,q99_5,0.05257766034503171,2922,923216
0.4189840664086357,0.1,active_wiretap,47739,1.0,1286188,171,47739,0,0.5894209958437346,1234999,1300000,1234999,1300000,0,0.0,1286188,0.9966802844230638,0.32645242542829644,0.4178574855481388,1.0,0.3754598609482731,0.0033197155769361907,q99_5,0.05672842052168566,4284,923216
0.4195555109843844,0.2,active_wiretap,47739,1.0,1284923,379,47739,0,0.5896591092354588,1234999,1300000,1234999,1300000,0,0.0,1284923,0.9957000229373438,0.33449824873577033,0.41809686799608176,1.0,0.3959845178717938,0.004299977062656144,q99_5,0.059991011679714386,5549,923216
0.42005738839438983,0.3,active_wiretap,47739,1.0,1283812,805,47739,0,0.5898683936459906,1234999,1300000,1234999,1300000,0,0.0,1283812,0.9948390976324941,0.33734353603765027,0.41830733456938474,1.0,0.4033884714204245,0.005160902367505843,q99_5,0.06240861916632023,6660,923216
0.4209116189815367,0.5,active_wiretap,47739,1.0,1281921,1915,47739,0,0.5902249522352497,1234999,1300000,1234999,1300000,0,0.0,1281921,0.9933737423206392,0.34026186429891075,0.41866605113423794,1.0,0.411262997813524,0.00662625767936073,q99_5,0.06469983883304882,8551,923216
0.36119673052502765,0.05,ssdp_flood,10324,1.0,2563048,138,10324,0,0.5290467776598529,2548441,2613442,2548441,2613442,0,0.0,2563048,0.9962634019795068,0.9951954728136548,0.3596625437335047,1.0,0.9983732428112124,0.003736598020493178,q99_5,0.05732482859387499,9613,1439604
0.3626091496947485,0.1,ssdp_flood,10324,1.0,2557381,364,10324,0,0.5295982462533033,2548441,2613442,2548441,2613442,0,0.0,2557381,0.9940606243885223,0.996838686009678,0.36017248000680513,1.0,0.9988161201643976,0.005939375611477765,q99_5,0.0673306807815037,15280,1439604
0.3644681993836399,0.2,ssdp_flood,10324,1.0,2549922,1103,10324,0,0.5303258533135143,2548441,2613442,2548441,2613442,0,0.0,2549922,0.9911612917520031,0.9982341308849371,0.36084587492348713,1.0,0.9992306414709002,0.008838708247996919,q99_5,0.07787447890983458,22739,1439604
0.3654118060497001,0.3,ssdp_flood,10324,1.0,2546136,1547,10324,0,0.5306959337509289,2548441,2613442,2548441,2613442,0,0.0,2546136,0.9896896637372744,0.9989237235368337,0.36118863749266134,1.0,0.999463840846632,0.010310336262725636,q99_5,0.0822763164977484,26525,1439604
