accuracy,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,k,pr_auc,precision,recall,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,0.5,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99,1506.969653925796,0,92652
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,0.5,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99_5,1547.699190119001,0,92652
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,0.5,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99_9,1628.1734620816737,0,92652
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,1.0,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99,347.62870705526103,0,92652
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,1.0,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99_5,368.533943204522,0,92652
0.043243394614878396,ssl_renegotiation,29299,1.0,2049918,1,29299,0,0.0829018325696508,1255010,1320011,1255010,1320011,0,0.0,2049918,1.0,1.0,0.14206204849548007,0.043243394614878396,1.0,0.8054048347540046,0.0,q99_9,431.743537960674,0,92652
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,0.25,0.9514335633380295,0.46951500984312494,1.0,0.9773912558408606,0.0,q99,6301.938972323314,0,1145272
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,0.25,0.9514335633380295,0.46951500984312494,1.0,0.9773912558408606,0.0,q99_5,6337.068168069924,0,1145272
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,0.25,0.9514335633380295,0.46951500984312494,1.0,0.9773912558408606,0.0,q99_9,6392.8699743459265,0,1145272
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,0.5,0.9514335633380295,0.46951500984312494,1.0,0.9773912558408606,0.0,q99,4923.070300588053,0,1145272
